display  I           wgl_disp.c:247  display_pixel_format             [   0.17744] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17745] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17746] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17747] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17749] Samples: 2
display  D   display_settings.c:449  _al_score_display_settings       [   0.17750] Multisample Samples requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17751] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17752] Decoding visual no. 28...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17757] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17759] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17760] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17762] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17763] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17764] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17767] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17768] Samples: 2
display  D   display_settings.c:449  _al_score_display_settings       [   0.17769] Multisample Samples requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17771] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17772] Decoding visual no. 29...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17778] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17779] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17780] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17783] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17784] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17785] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17786] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17787] Samples: 2
display  D   display_settings.c:449  _al_score_display_settings       [   0.17789] Multisample Samples requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17790] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17791] Decoding visual no. 30...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17796] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17798] Accelarated: yes
